subject,relation,object,sentence
2019-nCoV pneumonia,showed,involvement of ground-glass opacity sometimes with consolidation,"The 2019-nCoV pneumonia basically showed a multifocal or unifocal involvement of ground-glass opacity (GGO), sometimes with consolidation and fibrosis."
2019-nCoV pneumonia,basically showed,multifocal involvement,"The 2019-nCoV pneumonia basically showed a multifocal or unifocal involvement of ground-glass opacity (GGO), sometimes with consolidation and fibrosis."
coronavirus,is,enterocytetropic,"Porcine delta coronavirus (PDCoV) is a novel emerging enterocytetropic virus causing diarrhea, vomiting, dehydration, and mortality in suckling piglets."
coronavirus,is,novel,"Porcine delta coronavirus (PDCoV) is a novel emerging enterocytetropic virus causing diarrhea, vomiting, dehydration, and mortality in suckling piglets."
novel enterocytetropic virus,causing,diarrhea,"Porcine delta coronavirus (PDCoV) is a novel emerging enterocytetropic virus causing diarrhea, vomiting, dehydration, and mortality in suckling piglets."
Porcine delta coronavirus,is,novel emerging enterocytetropic virus,"Porcine delta coronavirus (PDCoV) is a novel emerging enterocytetropic virus causing diarrhea, vomiting, dehydration, and mortality in suckling piglets."
mortality,is in,suckling piglets,"Porcine delta coronavirus (PDCoV) is a novel emerging enterocytetropic virus causing diarrhea, vomiting, dehydration, and mortality in suckling piglets."
Porcine delta coronavirus,is,novel enterocytetropic virus,"Porcine delta coronavirus (PDCoV) is a novel emerging enterocytetropic virus causing diarrhea, vomiting, dehydration, and mortality in suckling piglets."
novel emerging virus,causing,diarrhea,"Porcine delta coronavirus (PDCoV) is a novel emerging enterocytetropic virus causing diarrhea, vomiting, dehydration, and mortality in suckling piglets."
virus,causing,diarrhea,"Porcine delta coronavirus (PDCoV) is a novel emerging enterocytetropic virus causing diarrhea, vomiting, dehydration, and mortality in suckling piglets."
Porcine delta coronavirus,is,novel virus,"Porcine delta coronavirus (PDCoV) is a novel emerging enterocytetropic virus causing diarrhea, vomiting, dehydration, and mortality in suckling piglets."
Porcine delta coronavirus,is,emerging virus,"Porcine delta coronavirus (PDCoV) is a novel emerging enterocytetropic virus causing diarrhea, vomiting, dehydration, and mortality in suckling piglets."
Porcine delta coronavirus,is,virus,"Porcine delta coronavirus (PDCoV) is a novel emerging enterocytetropic virus causing diarrhea, vomiting, dehydration, and mortality in suckling piglets."
Porcine delta coronavirus,is,enterocytetropic virus,"Porcine delta coronavirus (PDCoV) is a novel emerging enterocytetropic virus causing diarrhea, vomiting, dehydration, and mortality in suckling piglets."
new coronavirus,was,Similar to other coronaviruses as those reported,"Similar to such other coronaviruses as those causing the Middle East respiratory syndrome (MERS) and severe acute respiratory syndrome (SARS), the new coronavirus was reported to spread via natural aerosols from human-to-human."
new coronavirus,spread from,human-to-human,"Similar to such other coronaviruses as those causing the Middle East respiratory syndrome (MERS) and severe acute respiratory syndrome (SARS), the new coronavirus was reported to spread via natural aerosols from human-to-human."
coronavirus,spread via,aerosols,"Similar to such other coronaviruses as those causing the Middle East respiratory syndrome (MERS) and severe acute respiratory syndrome (SARS), the new coronavirus was reported to spread via natural aerosols from human-to-human."
new coronavirus,was,reported,"Similar to such other coronaviruses as those causing the Middle East respiratory syndrome (MERS) and severe acute respiratory syndrome (SARS), the new coronavirus was reported to spread via natural aerosols from human-to-human."
new coronavirus,spread via,aerosols,"Similar to such other coronaviruses as those causing the Middle East respiratory syndrome (MERS) and severe acute respiratory syndrome (SARS), the new coronavirus was reported to spread via natural aerosols from human-to-human."
new coronavirus,spread via,natural aerosols,"Similar to such other coronaviruses as those causing the Middle East respiratory syndrome (MERS) and severe acute respiratory syndrome (SARS), the new coronavirus was reported to spread via natural aerosols from human-to-human."
addressing,epidemiological and clinical effects of,SARS,"In order to assess the potential of the Wuhan 2019-nCoV to cause maternal, fetal and neonatal morbidity and other poor obstetrical outcomes, this communication reviews the published data addressing the epidemiological and clinical effects of SARS, MERS, and other coronavirus infections on pregnant women and their infants."
addressing,epidemiological and clinical effects on,pregnant women,"In order to assess the potential of the Wuhan 2019-nCoV to cause maternal, fetal and neonatal morbidity and other poor obstetrical outcomes, this communication reviews the published data addressing the epidemiological and clinical effects of SARS, MERS, and other coronavirus infections on pregnant women and their infants."
Infection,is with,Middle East respiratory syndrome coronavirus,Infection with Middle East respiratory syndrome coronavirus (MERS-CoV) could be asymptomatic or cause mild influenza-like illness.
infection,is with,novel coronavirus,"To understand the time-dependent risk of infection on a cruise ship, the Diamond Princess, I estimated the incidence of infection with novel coronavirus (COVID-19)."
Major initial symptoms,included,fever with other symptoms,"Major initial symptoms included fever (112/137, 81.8%), coughing (66/137, 48.2%), and muscle pain or fatigue (44/137, 32.1%), with other, less typical initial symptoms observed at low frequency, including heart palpitations, diarrhea, and headache."
symptoms,included,fever with other less typical initial symptoms including heart palpitations,"Major initial symptoms included fever (112/137, 81.8%), coughing (66/137, 48.2%), and muscle pain or fatigue (44/137, 32.1%), with other, less typical initial symptoms observed at low frequency, including heart palpitations, diarrhea, and headache."
initial symptoms,included,fever with less typical symptoms observed at frequency including heart palpitations,"Major initial symptoms included fever (112/137, 81.8%), coughing (66/137, 48.2%), and muscle pain or fatigue (44/137, 32.1%), with other, less typical initial symptoms observed at low frequency, including heart palpitations, diarrhea, and headache."
symptoms,included,fever with other initial symptoms observed at frequency,"Major initial symptoms included fever (112/137, 81.8%), coughing (66/137, 48.2%), and muscle pain or fatigue (44/137, 32.1%), with other, less typical initial symptoms observed at low frequency, including heart palpitations, diarrhea, and headache."
Major initial symptoms,included,fever with symptoms observed at low frequency,"Major initial symptoms included fever (112/137, 81.8%), coughing (66/137, 48.2%), and muscle pain or fatigue (44/137, 32.1%), with other, less typical initial symptoms observed at low frequency, including heart palpitations, diarrhea, and headache."
most,manifestations of,viral pneumonia,"CONCLUSIONS: The majority of patients with 2019-nCoV coronavirus pneumonia present with fever as the first symptom, and most of them still showed typical manifestations of viral pneumonia on chest imaging."
great public health concern,Human infections with,coronaviruses including severe respiratory syndrome,"BACKGROUND: Human infections with zoonotic coronaviruses (CoVs), including severe acute respiratory syndrome (SARS)-CoV and Middle East respiratory syndrome (MERS)-CoV, have raised great public health concern globally."
public health concern,Human infections with,coronaviruses including acute syndrome,"BACKGROUND: Human infections with zoonotic coronaviruses (CoVs), including severe acute respiratory syndrome (SARS)-CoV and Middle East respiratory syndrome (MERS)-CoV, have raised great public health concern globally."
severe acute respiratory syndrome,including coronaviruses is,CoVs,"BACKGROUND: Human infections with zoonotic coronaviruses (CoVs), including severe acute respiratory syndrome (SARS)-CoV and Middle East respiratory syndrome (MERS)-CoV, have raised great public health concern globally."
dyspnea,accompanied by,complications acute distress syndrome,"RESULTS: Five patients hospitalized from December 18 to December 29, 2019 presented with fever, cough, and dyspnea accompanied by complications of acute respiratory distress syndrome."
dyspnea,accompanied by,complications acute respiratory distress syndrome,"RESULTS: Five patients hospitalized from December 18 to December 29, 2019 presented with fever, cough, and dyspnea accompanied by complications of acute respiratory distress syndrome."
dyspnea,accompanied by,complications respiratory distress syndrome,"RESULTS: Five patients hospitalized from December 18 to December 29, 2019 presented with fever, cough, and dyspnea accompanied by complications of acute respiratory distress syndrome."
dyspnea,accompanied by,complications,"RESULTS: Five patients hospitalized from December 18 to December 29, 2019 presented with fever, cough, and dyspnea accompanied by complications of acute respiratory distress syndrome."
dyspnea,accompanied by,complications distress syndrome,"RESULTS: Five patients hospitalized from December 18 to December 29, 2019 presented with fever, cough, and dyspnea accompanied by complications of acute respiratory distress syndrome."
Corticosteroids,prevent,lung injury caused by pneumonia,Corticosteroids are widely used to prevent lung injury caused by severe community-acquired pneumonia (sCAP) due to their excellent pharmacological effects on the suppression of exuberant and dysfunctional systematic inflammation5.
Corticosteroids,prevent,lung injury caused,Corticosteroids are widely used to prevent lung injury caused by severe community-acquired pneumonia (sCAP) due to their excellent pharmacological effects on the suppression of exuberant and dysfunctional systematic inflammation5.
Corticosteroids,prevent,lung injury caused by severe community-acquired pneumonia,Corticosteroids are widely used to prevent lung injury caused by severe community-acquired pneumonia (sCAP) due to their excellent pharmacological effects on the suppression of exuberant and dysfunctional systematic inflammation5.
Corticosteroids,prevent,lung injury,Corticosteroids are widely used to prevent lung injury caused by severe community-acquired pneumonia (sCAP) due to their excellent pharmacological effects on the suppression of exuberant and dysfunctional systematic inflammation5.
Corticosteroids,are,widely used,Corticosteroids are widely used to prevent lung injury caused by severe community-acquired pneumonia (sCAP) due to their excellent pharmacological effects on the suppression of exuberant and dysfunctional systematic inflammation5.
Corticosteroids,prevent,lung injury caused by severe pneumonia,Corticosteroids are widely used to prevent lung injury caused by severe community-acquired pneumonia (sCAP) due to their excellent pharmacological effects on the suppression of exuberant and dysfunctional systematic inflammation5.
Corticosteroids,are,used,Corticosteroids are widely used to prevent lung injury caused by severe community-acquired pneumonia (sCAP) due to their excellent pharmacological effects on the suppression of exuberant and dysfunctional systematic inflammation5.
Corticosteroids,prevent,lung injury caused by community-acquired pneumonia,Corticosteroids are widely used to prevent lung injury caused by severe community-acquired pneumonia (sCAP) due to their excellent pharmacological effects on the suppression of exuberant and dysfunctional systematic inflammation5.
their excellent pharmacological effects,due to pneumonia is,sCAP,Corticosteroids are widely used to prevent lung injury caused by severe community-acquired pneumonia (sCAP) due to their excellent pharmacological effects on the suppression of exuberant and dysfunctional systematic inflammation5.
ratio,history of,smoking,"Multivariate logistic analysis indicated that age (odds ratio [OR], 8.546; 95% confidence interval [CI]: 1.628-44.864; Pâ€Š=â€Š0.011), history of smoking (OR, 14.285; 95% CI: 1.577-25.000; Pâ€Š=â€Š0.018), maximum body temperature at admission (OR, 8.999; 95% CI: 1.036-78.147, Pâ€Š=â€Š0.046), respiratory failure (OR, 8.772, 95% CI: 1.942-40.000; Pâ€Š=â€Š0.016), albumin (OR, 7.353, 95% CI: 1.098-50.000; Pâ€Š=â€Š0.003), and C-reactive protein (OR, 10.530; 95% CI: 1.224-34.701, Pâ€Š=â€Š0.028) were risk factors for disease progression."
age,history of,smoking,"CONCLUSIONS: Several factors that led to the progression of COVID-19 pneumonia were identified, including age, history of smoking, maximum body temperature on admission, respiratory failure, albumin, C-reactive protein."
posing,significant threats to,global health,"Among them, three emerging pathogenic CoVs, including severe acute respiratory syndrome coronavirus (SARS-CoV), Middle East respiratory syndrome coronavirus (MERS-CoV), and a newly identified CoV (2019-nCoV), once caused or continue to cause severe infections in humans, posing significant threats to global public health."
posing,significant threats to,public health,"Among them, three emerging pathogenic CoVs, including severe acute respiratory syndrome coronavirus (SARS-CoV), Middle East respiratory syndrome coronavirus (MERS-CoV), and a newly identified CoV (2019-nCoV), once caused or continue to cause severe infections in humans, posing significant threats to global public health."
posing,significant threats to,health,"Among them, three emerging pathogenic CoVs, including severe acute respiratory syndrome coronavirus (SARS-CoV), Middle East respiratory syndrome coronavirus (MERS-CoV), and a newly identified CoV (2019-nCoV), once caused or continue to cause severe infections in humans, posing significant threats to global public health."
posing,threats to,health,"Among them, three emerging pathogenic CoVs, including severe acute respiratory syndrome coronavirus (SARS-CoV), Middle East respiratory syndrome coronavirus (MERS-CoV), and a newly identified CoV (2019-nCoV), once caused or continue to cause severe infections in humans, posing significant threats to global public health."
posing,threats to,global public health,"Among them, three emerging pathogenic CoVs, including severe acute respiratory syndrome coronavirus (SARS-CoV), Middle East respiratory syndrome coronavirus (MERS-CoV), and a newly identified CoV (2019-nCoV), once caused or continue to cause severe infections in humans, posing significant threats to global public health."
severe infections,is in,humans,"Among them, three emerging pathogenic CoVs, including severe acute respiratory syndrome coronavirus (SARS-CoV), Middle East respiratory syndrome coronavirus (MERS-CoV), and a newly identified CoV (2019-nCoV), once caused or continue to cause severe infections in humans, posing significant threats to global public health."
posing,threats to,global health,"Among them, three emerging pathogenic CoVs, including severe acute respiratory syndrome coronavirus (SARS-CoV), Middle East respiratory syndrome coronavirus (MERS-CoV), and a newly identified CoV (2019-nCoV), once caused or continue to cause severe infections in humans, posing significant threats to global public health."
posing,significant threats to,global public health,"Among them, three emerging pathogenic CoVs, including severe acute respiratory syndrome coronavirus (SARS-CoV), Middle East respiratory syndrome coronavirus (MERS-CoV), and a newly identified CoV (2019-nCoV), once caused or continue to cause severe infections in humans, posing significant threats to global public health."
posing,threats to,public health,"Among them, three emerging pathogenic CoVs, including severe acute respiratory syndrome coronavirus (SARS-CoV), Middle East respiratory syndrome coronavirus (MERS-CoV), and a newly identified CoV (2019-nCoV), once caused or continue to cause severe infections in humans, posing significant threats to global public health."
pulmonary lesions,were found In,total,"In total, 77 pulmonary lesions were found, including patchy lesions (39%), large confluent lesions (13%), and small nodular lesions (48%)."
77 pulmonary lesions,were,found,"In total, 77 pulmonary lesions were found, including patchy lesions (39%), large confluent lesions (13%), and small nodular lesions (48%)."
77 pulmonary lesions,were,In total found including lesions,"In total, 77 pulmonary lesions were found, including patchy lesions (39%), large confluent lesions (13%), and small nodular lesions (48%)."
pulmonary lesions,were found including,patchy lesions,"In total, 77 pulmonary lesions were found, including patchy lesions (39%), large confluent lesions (13%), and small nodular lesions (48%)."
pulmonary lesions,were,found,"In total, 77 pulmonary lesions were found, including patchy lesions (39%), large confluent lesions (13%), and small nodular lesions (48%)."
77 pulmonary lesions,were found In,total,"In total, 77 pulmonary lesions were found, including patchy lesions (39%), large confluent lesions (13%), and small nodular lesions (48%)."
77 pulmonary lesions,were,In total found including patchy lesions,"In total, 77 pulmonary lesions were found, including patchy lesions (39%), large confluent lesions (13%), and small nodular lesions (48%)."
pulmonary lesions,were,In total found including patchy lesions,"In total, 77 pulmonary lesions were found, including patchy lesions (39%), large confluent lesions (13%), and small nodular lesions (48%)."
pulmonary lesions,were,In total found including lesions,"In total, 77 pulmonary lesions were found, including patchy lesions (39%), large confluent lesions (13%), and small nodular lesions (48%)."
77 pulmonary lesions,were found including,lesions,"In total, 77 pulmonary lesions were found, including patchy lesions (39%), large confluent lesions (13%), and small nodular lesions (48%)."
pulmonary lesions,were found including,lesions,"In total, 77 pulmonary lesions were found, including patchy lesions (39%), large confluent lesions (13%), and small nodular lesions (48%)."
77 pulmonary lesions,were found including,patchy lesions,"In total, 77 pulmonary lesions were found, including patchy lesions (39%), large confluent lesions (13%), and small nodular lesions (48%)."
87%,had,more,"In total, 87% of all cases had two or more of runny nose/ congestion, cough, sore throat/hoarse voice or fever."
%,had,more,"In total, 87% of all cases had two or more of runny nose/ congestion, cough, sore throat/hoarse voice or fever."
sore throat,had,measured temperature,"The most common symptoms among residents were cough (85%), runny nose/congestion (79%), and sore throat/ hoarse voice (59%) and only 17% of residents had a measured temperature of â‰¥ 37.8C."
sore throat,had,measured temperature of â‰¥ 37.8 C.,"The most common symptoms among residents were cough (85%), runny nose/congestion (79%), and sore throat/ hoarse voice (59%) and only 17% of residents had a measured temperature of â‰¥ 37.8C."
throat,had,temperature,"The most common symptoms among residents were cough (85%), runny nose/congestion (79%), and sore throat/ hoarse voice (59%) and only 17% of residents had a measured temperature of â‰¥ 37.8C."
sore throat,temperature of,â‰¥ 37.8 C.,"The most common symptoms among residents were cough (85%), runny nose/congestion (79%), and sore throat/ hoarse voice (59%) and only 17% of residents had a measured temperature of â‰¥ 37.8C."
throat,had,measured temperature,"The most common symptoms among residents were cough (85%), runny nose/congestion (79%), and sore throat/ hoarse voice (59%) and only 17% of residents had a measured temperature of â‰¥ 37.8C."
throat,had,measured temperature of â‰¥ 37.8 C.,"The most common symptoms among residents were cough (85%), runny nose/congestion (79%), and sore throat/ hoarse voice (59%) and only 17% of residents had a measured temperature of â‰¥ 37.8C."
throat,had,temperature of â‰¥ 37.8 C.,"The most common symptoms among residents were cough (85%), runny nose/congestion (79%), and sore throat/ hoarse voice (59%) and only 17% of residents had a measured temperature of â‰¥ 37.8C."
sore throat,had,temperature of â‰¥ 37.8 C.,"The most common symptoms among residents were cough (85%), runny nose/congestion (79%), and sore throat/ hoarse voice (59%) and only 17% of residents had a measured temperature of â‰¥ 37.8C."
sore throat,measured temperature of,â‰¥ 37.8 C.,"The most common symptoms among residents were cough (85%), runny nose/congestion (79%), and sore throat/ hoarse voice (59%) and only 17% of residents had a measured temperature of â‰¥ 37.8C."
throat,measured temperature of,â‰¥ 37.8 C.,"The most common symptoms among residents were cough (85%), runny nose/congestion (79%), and sore throat/ hoarse voice (59%) and only 17% of residents had a measured temperature of â‰¥ 37.8C."
sore throat,had,temperature,"The most common symptoms among residents were cough (85%), runny nose/congestion (79%), and sore throat/ hoarse voice (59%) and only 17% of residents had a measured temperature of â‰¥ 37.8C."
throat,temperature of,â‰¥ 37.8 C.,"The most common symptoms among residents were cough (85%), runny nose/congestion (79%), and sore throat/ hoarse voice (59%) and only 17% of residents had a measured temperature of â‰¥ 37.8C."
patients,is in,Zhejiang province,"Objective To study the clinical characteristics of patients in Zhejiang province, China, infected with the 2019 severe acute respiratory syndrome coronavirus 2 (SARS-Cov-2) responsible for coronavirus disease 2019 (covid-2019).Design Retrospective case series.Setting Seven hospitals in Zhejiang province, China.Participants 62 patients admitted to hospital with laboratory confirmed SARS-Cov-2 infection."
series.Setting,hospitals in,Zhejiang province,"Objective To study the clinical characteristics of patients in Zhejiang province, China, infected with the 2019 severe acute respiratory syndrome coronavirus 2 (SARS-Cov-2) responsible for coronavirus disease 2019 (covid-2019).Design Retrospective case series.Setting Seven hospitals in Zhejiang province, China.Participants 62 patients admitted to hospital with laboratory confirmed SARS-Cov-2 infection."
Design Retrospective case,confirmed,SARS-Cov-2 infection,"Objective To study the clinical characteristics of patients in Zhejiang province, China, infected with the 2019 severe acute respiratory syndrome coronavirus 2 (SARS-Cov-2) responsible for coronavirus disease 2019 (covid-2019).Design Retrospective case series.Setting Seven hospitals in Zhejiang province, China.Participants 62 patients admitted to hospital with laboratory confirmed SARS-Cov-2 infection."
China.Participants 62 patients,admitted to,hospital,"Objective To study the clinical characteristics of patients in Zhejiang province, China, infected with the 2019 severe acute respiratory syndrome coronavirus 2 (SARS-Cov-2) responsible for coronavirus disease 2019 (covid-2019).Design Retrospective case series.Setting Seven hospitals in Zhejiang province, China.Participants 62 patients admitted to hospital with laboratory confirmed SARS-Cov-2 infection."
Seven hospitals,is in,Zhejiang province,"Objective To study the clinical characteristics of patients in Zhejiang province, China, infected with the 2019 severe acute respiratory syndrome coronavirus 2 (SARS-Cov-2) responsible for coronavirus disease 2019 (covid-2019).Design Retrospective case series.Setting Seven hospitals in Zhejiang province, China.Participants 62 patients admitted to hospital with laboratory confirmed SARS-Cov-2 infection."
Design case,confirmed,SARS-Cov-2 infection,"Objective To study the clinical characteristics of patients in Zhejiang province, China, infected with the 2019 severe acute respiratory syndrome coronavirus 2 (SARS-Cov-2) responsible for coronavirus disease 2019 (covid-2019).Design Retrospective case series.Setting Seven hospitals in Zhejiang province, China.Participants 62 patients admitted to hospital with laboratory confirmed SARS-Cov-2 infection."
China.Participants 62 patients,admitted with,laboratory,"Objective To study the clinical characteristics of patients in Zhejiang province, China, infected with the 2019 severe acute respiratory syndrome coronavirus 2 (SARS-Cov-2) responsible for coronavirus disease 2019 (covid-2019).Design Retrospective case series.Setting Seven hospitals in Zhejiang province, China.Participants 62 patients admitted to hospital with laboratory confirmed SARS-Cov-2 infection."
75-year-old male patient,is with,severe COVID-19 pneumonia,"We recently reported in Intensive Care Medicine the imaging changes of acute stage from a case of 75-year-old male patient with severe COVID-19 pneumonia combined acute respiratory distress syndrome (ARDS), septic shock, and multiple organ disfunction syndrome (MODS) who had a history of 10-year hypertension and 1-year diabetes."
116 patients,is in,3 HD units,"Thus, this study aimed to evaluate the effect of different isolation strategies on the prevention of secondary viral transmission and clinical outcomes among exposed HD patients.During the 2015 MERS-CoV outbreak in Korea, 116 patients in 3 HD units were incidentally exposed to individuals with confirmed MERS-CoV infection and underwent different types of isolation, which were as follows: single-room isolation (nâ€Š=â€Š54, 47%), cohort isolation (nâ€Š=â€Š46, 40%), and self-imposed quarantine (nâ€Š=â€Š16, 13%)."
individuals,is with,confirmed MERS-CoV infection,"Thus, this study aimed to evaluate the effect of different isolation strategies on the prevention of secondary viral transmission and clinical outcomes among exposed HD patients.During the 2015 MERS-CoV outbreak in Korea, 116 patients in 3 HD units were incidentally exposed to individuals with confirmed MERS-CoV infection and underwent different types of isolation, which were as follows: single-room isolation (nâ€Š=â€Š54, 47%), cohort isolation (nâ€Š=â€Š46, 40%), and self-imposed quarantine (nâ€Š=â€Š16, 13%)."
2015 MERS-CoV outbreak,is in,Korea,"Thus, this study aimed to evaluate the effect of different isolation strategies on the prevention of secondary viral transmission and clinical outcomes among exposed HD patients.During the 2015 MERS-CoV outbreak in Korea, 116 patients in 3 HD units were incidentally exposed to individuals with confirmed MERS-CoV infection and underwent different types of isolation, which were as follows: single-room isolation (nâ€Š=â€Š54, 47%), cohort isolation (nâ€Š=â€Š46, 40%), and self-imposed quarantine (nâ€Š=â€Š16, 13%)."
symptoms,included,fever,"Common symptoms included fever (136 [98.6%]), fatigue (96 [69.6%]), and dry cough (82 [59.4%])."
Common symptoms,included,fever,"Common symptoms included fever (136 [98.6%]), fatigue (96 [69.6%]), and dry cough (82 [59.4%])."
many,received,glucocorticoid therapy,"Most patients received antiviral therapy (oseltamivir, 124 [89.9%]), and many received antibacterial therapy (moxifloxacin, 89 [64.4%]; ceftriaxone, 34 [24.6%]; azithromycin, 25 [18.1%]) and glucocorticoid therapy (62 [44.9%])."
many,received,moxifloxacin,"Most patients received antiviral therapy (oseltamivir, 124 [89.9%]), and many received antibacterial therapy (moxifloxacin, 89 [64.4%]; ceftriaxone, 34 [24.6%]; azithromycin, 25 [18.1%]) and glucocorticoid therapy (62 [44.9%])."
many,received,antibacterial therapy,"Most patients received antiviral therapy (oseltamivir, 124 [89.9%]), and many received antibacterial therapy (moxifloxacin, 89 [64.4%]; ceftriaxone, 34 [24.6%]; azithromycin, 25 [18.1%]) and glucocorticoid therapy (62 [44.9%])."
many,received,therapy,"Most patients received antiviral therapy (oseltamivir, 124 [89.9%]), and many received antibacterial therapy (moxifloxacin, 89 [64.4%]; ceftriaxone, 34 [24.6%]; azithromycin, 25 [18.1%]) and glucocorticoid therapy (62 [44.9%])."
patients,received,therapy,"Most patients received antiviral therapy (oseltamivir, 124 [89.9%]), and many received antibacterial therapy (moxifloxacin, 89 [64.4%]; ceftriaxone, 34 [24.6%]; azithromycin, 25 [18.1%]) and glucocorticoid therapy (62 [44.9%])."
patients,received,antiviral therapy,"Most patients received antiviral therapy (oseltamivir, 124 [89.9%]), and many received antibacterial therapy (moxifloxacin, 89 [64.4%]; ceftriaxone, 34 [24.6%]; azithromycin, 25 [18.1%]) and glucocorticoid therapy (62 [44.9%])."
Most patients,received,therapy,"Most patients received antiviral therapy (oseltamivir, 124 [89.9%]), and many received antibacterial therapy (moxifloxacin, 89 [64.4%]; ceftriaxone, 34 [24.6%]; azithromycin, 25 [18.1%]) and glucocorticoid therapy (62 [44.9%])."
Most patients,received,antiviral therapy,"Most patients received antiviral therapy (oseltamivir, 124 [89.9%]), and many received antibacterial therapy (moxifloxacin, 89 [64.4%]; ceftriaxone, 34 [24.6%]; azithromycin, 25 [18.1%]) and glucocorticoid therapy (62 [44.9%])."
patients,were transferred because of,complications including acute distress syndrome,"Thirty-six patients (26.1%) were transferred to the intensive care unit (ICU) because of complications, including acute respiratory distress syndrome (22 [61.1%]), arrhythmia (16 [44.4%]), and shock (11 [30.6%])."
Thirty-six patients,were transferred because of,complications including acute respiratory distress syndrome,"Thirty-six patients (26.1%) were transferred to the intensive care unit (ICU) because of complications, including acute respiratory distress syndrome (22 [61.1%]), arrhythmia (16 [44.4%]), and shock (11 [30.6%])."
Thirty-six patients,were transferred because of,complications including acute distress syndrome,"Thirty-six patients (26.1%) were transferred to the intensive care unit (ICU) because of complications, including acute respiratory distress syndrome (22 [61.1%]), arrhythmia (16 [44.4%]), and shock (11 [30.6%])."
patients,were transferred because of,complications including respiratory distress syndrome,"Thirty-six patients (26.1%) were transferred to the intensive care unit (ICU) because of complications, including acute respiratory distress syndrome (22 [61.1%]), arrhythmia (16 [44.4%]), and shock (11 [30.6%])."
